Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
38,SCHA,,Broad Equity & Factors,Small Cap Blend,0.42731218533874915,0.21985187681289142,0.27566447763596935,0.15355095245863581,-0.0469954625796688,-0.043751787246211093,0.0036014405762303525,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
39,IWM,,Broad Equity & Factors,Small Cap Blend,0.42018734393862034,0.20133306090339032,0.27251667409557045,0.1530080105955125,-0.036361205405533226,-0.0559392380793543,-0.004659636338156359,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
40,DRIV,HB,Growth & Technology,Autonomous & Electric Vehicles,0.4837159422261308,0.22788355236941116,0.26966824639034037,0.10709240245203056,-0.16333394914569543,-0.0329099307159354,-0.010339734121122657,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
41,COWZ,,Broad Equity & Factors,Large Cap Cash Flow,0.28748909263501843,0.22925570326571032,0.2684984247441242,0.11862998977956796,0.12320428423099727,-0.030936358069447167,-0.010468951670730031,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
42,FNDX,,Broad Equity & Factors,Fundamental Large Cap,0.395116646565723,0.24747051681169618,0.26845600214123877,0.16334950514137425,0.03776920822970409,-0.016544117647058765,-0.005268050821196191,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
43,ROBO,HB,Growth & Technology,Robotics,0.4190719068369211,0.21164219362471348,0.26134267596193106,0.11095386357203507,-0.08720930232558144,-0.03940283896231034,-0.001653312984865818,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
44,QCLN,HB,Growth & Technology,Clean Energy,0.6215680045930785,0.18644399580929827,0.2608758650570584,-0.0011085292142194447,-0.25560398505603976,-0.059031877213695405,-0.0058212058212058215,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
45,HEFA,,International,Developed ex-US Currency-Hedged,0.32236978317867804,0.2382377510906779,0.2531852212482719,0.12487643998416598,0.0027114106189785048,-0.011927582534611347,-0.008972441785943253,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
46,VEA,,International,Developed Markets,0.40986556659234763,0.22365877928211364,0.2485159553812879,0.12029040317029116,-0.01286129166090455,-0.019909378003569955,-0.010672210672210802,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
47,IWO,HB,Broad Equity & Factors,Russell 2000 Growth,0.3957898976002163,0.1550140984970252,0.24353992709643313,0.14196467674399815,-0.06822816998272896,-0.07118856955892738,-0.004344598124673582,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
