Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
18,QTEC,HB,Growth & Technology,Technology,0.6416329762384267,0.462931215923458,0.464012917780535,0.4074665056016531,0.01994134268344938,-0.0007388608692859844,0.0031928274260650813
19,XLK,,Growth & Technology,Technology,0.6988902761882037,0.4284137076652863,0.41869192090893637,0.3624794040134809,0.036175847062425825,0.006852641234554424,0.0033876431682529073
20,DXJ,HB,International,Japan Hedged Equity,0.6673421875438417,0.4317614525070901,0.414560247003918,0.1548165787934046,0.06939085825416558,0.012160108089849686,-0.0013885803154854992
21,SIL,,Natural Resources,Silver Miners,1.7862974379494747,0.6813908738240149,0.39824814377334694,-0.00960109680495247,0.2646074070705531,0.2024981984146048,-0.01223362273086026
22,FTEC,HB,Growth & Technology,Technology,0.666495252552119,0.39737435921049924,0.3812608589121027,0.3503962062189596,0.04997535511647522,0.01166579085654229,0.0010746351440356072
23,QCLN,HB,Growth & Technology,Clean Energy,0.6424863340248785,0.31075313127704796,0.37868443006186125,0.08854311700028261,-0.20166150838898844,-0.049272550921435454,-0.002442499491146055
24,IBB,HB,Defensive Equity,Biotechnology,0.5535341377454481,0.5127822821346839,0.37841909993167433,0.2650065229704768,0.25747909740944364,0.09747629165155214,-0.009494410925588115
25,VGT,,Growth & Technology,Technology,0.6592349047465613,0.39296628231163644,0.37776023291822436,0.3483510601195896,0.05017296048089692,0.011036789297658833,0.00033090668431512427
26,DRIV,HB,Growth & Technology,Autonomous/EV,0.5367027593953413,0.3592671137044743,0.3722462267693607,0.14818175897127284,-0.10333602940963116,-0.009458297506448776,0.002029573789504191
27,IYW,HB,Growth & Technology,Technology,0.6629918516151567,0.3831017227159095,0.3720417271500722,0.3421339094751219,0.047396129675545406,0.008060976096412542,0.0002771838124653314
28,XME,HB,Natural Resources,Metals & Mining,1.0890567717203616,0.4637103308613706,0.3577709735251533,0.08148859401462127,0.0037216439830594084,0.07802446760308102,0.00489947626288223
29,VDE,HB,Natural Resources,Energy,0.5847095157911364,0.48342554768201285,0.34731489145308236,0.14622283733043884,0.12043419207862538,0.10102364123811824,-0.008014931927975422
30,XLE,,Natural Resources,Energy,0.5676937330898295,0.4844621796137114,0.34648035505822583,0.1490964107367685,0.11986162096514796,0.10247592847317755,-0.007737542556484067
31,DBC,,Inflation & Real Assets,Broad Commodities,0.5067651832101063,0.4836989786604764,0.3431478207070686,0.15885132679025804,0.09066028053369823,0.10464310464310467,-0.0025031289111390187
32,ROBO,HB,Growth & Technology,Robotics,0.426363459628599,0.27916672382647123,0.32033275035120456,0.11808835787718808,-0.03478052290717193,-0.031178524136270536,0.008900589193932662
